epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,epochs_usados,early_stopping_monitor,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience
25,0.06063180789351463,0.10883636027574539,0.18213292956352234,0.26818352937698364,0.06063180789351463,0.10883636027574539,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
26,0.0550011545419693,0.05366889759898186,0.17484137415885925,0.17858470976352692,0.0550011545419693,0.05366889759898186,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
27,0.03930508345365524,0.09493695199489594,0.15233251452445984,0.20186938345432281,0.03930508345365524,0.09493695199489594,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
28,0.050697024911642075,0.11864687502384186,0.1673423796892166,0.23034535348415375,0.050697024911642075,0.11864687502384186,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
29,0.05820215865969658,0.06691742688417435,0.17668384313583374,0.181087464094162,0.05820215865969658,0.06691742688417435,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
1,0.47921839356422424,0.1287308633327484,0.5508576035499573,0.2795725464820862,0.47921839356422424,0.1287308633327484,DWT_CLSTM_DCCNN,80,3,34,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
2,0.1567022055387497,0.1735372096300125,0.310957133769989,0.3103678226470947,0.1567022055387497,0.1735372096300125,DWT_CLSTM_DCCNN,80,3,34,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
3,0.13345889747142792,0.17761431634426117,0.2833377420902252,0.3151319921016693,0.13345889747142792,0.17761431634426117,DWT_CLSTM_DCCNN,80,3,34,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
4,0.14221978187561035,0.1415203958749771,0.2904236912727356,0.29459723830223083,0.14221978187561035,0.1415203958749771,DWT_CLSTM_DCCNN,80,3,34,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
5,0.12509630620479584,0.062308456748723984,0.26720497012138367,0.19454969465732574,0.12509630620479584,0.062308456748723984,DWT_CLSTM_DCCNN,80,3,34,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
