epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,epochs_usados,early_stopping_monitor,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience
84,0.01240573637187481,,0.08238344639539719,,0.01240573637187481,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
85,0.01303261611610651,,0.08393821865320206,,0.01303261611610651,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
86,0.012726622633635998,,0.08314833790063858,,0.012726622633635998,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
87,0.012281825765967369,,0.08199857920408249,,0.012281825765967369,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
88,0.011240862309932709,,0.07911470532417297,,0.011240862309932709,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
89,0.01127065159380436,,0.07939837127923965,,0.01127065159380436,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
90,0.011710908263921738,,0.08079009503126144,,0.011710908263921738,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
91,0.014571338891983032,,0.08674674481153488,,0.014571338891983032,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
92,0.011082019656896591,,0.07854638248682022,,0.011082019656896591,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
93,0.01200633030384779,,0.080283984541893,,0.01200633030384779,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
94,0.012514001689851284,,0.08180537074804306,,0.012514001689851284,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
95,0.011042534373700619,,0.07776042073965073,,0.011042534373700619,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
96,0.01106935366988182,,0.0774509459733963,,0.01106935366988182,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
97,0.01103162206709385,,0.07819106429815292,,0.01103162206709385,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
98,0.011893573217093945,,0.08131741732358932,,0.011893573217093945,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
99,0.013032222166657448,,0.08280497044324875,,0.013032222166657448,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
100,0.010332479141652584,,0.0756048709154129,,0.010332479141652584,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
