Estacion,Serie,Lag,ACF,Confianza_95,Confianza_sup,Confianza_inf,N
Calamar,Calamar,138,0.09998023314157671,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,139,0.10347401780919319,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,140,0.10701267689766716,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,141,0.11059390284086737,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,142,0.11421408956464096,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,143,0.11786603650147152,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,144,0.1215456671701272,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,145,0.12524287571777337,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,146,0.12894726836118314,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,147,0.1326476485715031,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,148,0.13632990762739977,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,149,0.13998105664894867,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,150,0.1435886250356619,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,151,0.14714176915474342,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,152,0.15062581199958383,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,153,0.1540261726634184,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,154,0.15732652067027092,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,155,0.16051416088858939,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,156,0.16358225316561065,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
